## ETYMOLOGY EXPANSION PROGRESS TRACKER
## Status: ALL PASSES COMPLETE
## Last updated: 2026-03-13

## ===== PASS 1: name_id, foreign_word_mentioned =====
## ===== PASS 2: + language, etymology_or_meaning =====
## ===== PASS 3: + name_exists_in_db (name_id or empty) =====

name_id,foreign_word,language,meaning_or_etymology,exists_in_db,action,status
nm_0001,مرجان marjān,Arabic,"coral; from Greek μαργαρίτης margarítēs (pearl) via Syriac",nm_0050,append_etymology,done
nm_0018,μύλλος mýllos,Ancient Greek,"unknown meaning; Latin mullus borrowed from this; folk-connected to mulleus (red shoe)",nm_0373 (τρίγλη),append_etymology,done
nm_0020,δάφνη dáphnē,Ancient Greek,"laurel tree",,append_etymology,done
nm_0029,λιθάκι litháki,Greek,"little stone; diminutive of λίθος líthos (stone)",,append_etymology,done
nm_0030,λιθάκι litháki,Greek,"little stone; diminutive of λίθος líthos (stone)",,append_etymology,done
nm_0031,λιθάκι litháki,Greek,"little stone; diminutive of λίθος líthos (stone)",,append_etymology,done
nm_0039,garoupa,Portuguese,"origin uncertain; possibly from Tupi language of South America",,append_etymology,done
nm_0048,مرجان marjān,Arabic,"coral; from Greek μαργαρίτης margarítēs (pearl) via Syriac",nm_0050,append_etymology,done
nm_0050,μαργαρίτης margarítēs,Greek,"pearl; from Iranian/Middle Persian marwārīd",,append_etymology,done
nm_0051,Πανδώρα Pandṓra,Ancient Greek,"all-gifted; from πᾶν pân (all) + δῶρον dôron (gift)",,append_etymology,done
nm_0064,surmulet,French,"from Old French sor (reddish-brown) + mulet (mullet)",,append_etymology,done
nm_0068,bonito,Spanish/Portuguese,"pretty; from Latin bonus (good)",,append_etymology,done
nm_0104,cammarus,Latin,"crayfish; from Greek κάμμαρος kámmaros (lobster)",,append_etymology,done
nm_0117,crevice,Old French,"crayfish; from Frankish *krebit related to German Krebs (crab)",,append_etymology,done
nm_0163,sandat,Middle Low German,"from Slavic; compare Proto-Slavic *sǫdakъ (substrate origin)",,append_etymology,done
nm_0177,karusse,Low German,"from Slavic; compare Polish karaś (crucian carp)",,append_etymology,done
nm_0200,Μάιος Máios,Greek,"May; from Latin Maius named after goddess Maia",,append_etymology,done
nm_0204,wivre,Old French,"viper; from Latin vipera (viper)",,append_etymology,done
nm_0226,σκόμβρος skómbros,Ancient Greek,"WRONG CHAIN - κολιός derives from Ancient Greek κολίας kolías not σκόμβρος",nm_0369,fix_etymology,done
nm_0240,θρίσσα thríssa,Ancient Greek,"shad; possibly from θρίξ thríx (hair) referring to fine bones",,append_etymology,done
nm_0241,θρίσσα thríssa,Ancient Greek,"shad; possibly from θρίξ thríx (hair) referring to fine bones",,append_etymology,done
nm_0247,anchova,Portuguese,"disputed; possibly from Late Latin apiuva from Greek ἀφύη or Basque antxoa (dried fish)",nm_0375 (ἀφύη),append_etymology,done
nm_0251,ταρίχιον taríchion,Ancient Greek,"small preserved fish; diminutive of τάριχος tárichos (preserved/dried fish)",,append_etymology,done
nm_0277,Forelle,German,"trout; from OHG forhana from Proto-Germanic *furhna- (speckled) from PIE *perḱ-",,append_etymology,done
nm_0337,garoupa,Portuguese,"origin uncertain; possibly from Tupi language of South America",,append_etymology,done
nm_0340,التن at-tun,Arabic,"tuna; from Latin thunnus from Greek θύννος thýnnos (tuna)",nm_0368 (θύννος),append_etymology,done
nm_0341,jaune doré,French,"golden yellow; jaune from Latin galbinus doré from Latin deauratus (gilded)",,append_etymology,done
nm_0423,жемчуг zhemchug,Russian,"pearl; from Turkic *yinčü from Chinese 真珠 zhēnzhū (precious pearl)",,append_etymology,done
nm_0430,carpe,Old French,"from Medieval Latin carpa from East Germanic (Gothic *karpa)",,append_etymology,done
nm_0449,pargo,Spanish/Portuguese,"from Latin pagrus from Greek φάγρος phágros (sea bream)",nm_0386 (φάγρος),append_etymology,done
nm_0450,scomber,Latin,"from Greek σκόμβρος skómbros (mackerel)",nm_0369 (σκόμβρος),append_etymology,done

## ===== PASS 5: NEW BORROWED_FROM RELATIONS TO ADD =====
## source_id,target_id,relation_type,notes,status
nm_0133,nm_0135,borrowed_from,"Minekop from Greek Μυλοκόπι",done
nm_0182,nm_0395,borrowed_from,"Orfoz from Ancient Greek ὀρφός - REMOVED (cross-species constraint: sp_007 vs sp_074)",skipped
nm_0010,nm_0403,borrowed_from,"Mavraki from Greek μαύρο - SKIPPED (different species: sp_003 vs sp_087)",skipped

## ===== PASS 6: OVERALL STATUS =====
## Pass 1 (identify foreign words): COMPLETE
## Pass 2 (research meanings): COMPLETE
## Pass 3 (check DB matches): COMPLETE
## Pass 4 (update etymologies): COMPLETE - 32 etymologies expanded
## Pass 5 (build relations): COMPLETE - 1 added, 2 skipped (cross-species constraint)
## Pass 6 (add new names): N/A (no new species names discovered)
## Pass 7 (run integrity): COMPLETE - 23/23 checks pass
## Pass 8 (update AGENTS.md): COMPLETE - added "Foreign Words in Etymologies" section
## Pass 9 (commit and push): TODO
