name_id,species,name,note
nm_0004,"Dentex macrophthalmus","Large-eye dentex","Refers to large eyes"
nm_0005,"Dentex dentex",Sinarit,"ğ often dropped in casual speech"
nm_0007,"Dentex dentex","Συναγρίδα","Ancient name for this fish"
nm_0010,"Spondyliosoma cantharus",Mavraki,"Name from Greek word for ""black"" - not a Greek fish name"
nm_0011,"Spondyliosoma cantharus","Σκαθάρι","Traditional Greek name. Etymology uncertain."
nm_0013,"Spondyliosoma cantharus","Black seabream","Refers to dark color"
nm_0014,"Mullus barbatus",Barbun,"Refers to barbels on chin. Often confused with tekir. Varieties: kaya barbunu (rock), kum barbunu (sand), ot barbunu (grass), paşa barbunu (pasha)."
nm_0017,"Mullus barbatus","سلطان ابراهيم","Origin uncertain, possibly Ottoman era honorific"
nm_0018,"Mullus barbatus","Red mullet","Refers to red color"
nm_0019,"Pomatomus saltatrix",Yaprak,"Refers to smallest size class of bluefish"
nm_0020,"Pomatomus saltatrix","Defneyaprağı","Refers to small bluefish resembling laurel leaf"
nm_0021,"Pomatomus saltatrix","Çinekop","Bluefish size class (12-18cm)"
nm_0022,"Pomatomus saltatrix","Sarıkanat","Literally 'yellow-finned'"
nm_0026,"Pomatomus saltatrix",Bluefish,"Refers to blue-green color"
nm_0027,"Pomatomus saltatrix",Kofana,"Originally meant female bluefish"
nm_0028,"Pomatomus saltatrix","Sırtıkara","Literally 'black-backed'"
nm_0032,"Sparus aurata","Çipura","Nationally standardized Turkish name for Sparus aurata. FishBase preferred common name (Keskin 2015)."
nm_0033,"Sparus aurata","Τσιπούρα","Etymology contested between Turkish çupra and Ancient Greek ἵππουρος hippouros"
nm_0034,"Sparus aurata","دنيس","Widespread name for gilt-head bream"
nm_0035,"Sparus aurata","Gilthead seabream","Named for golden stripe between the eyes"
nm_0036,"Epinephelus aeneus","Ada beyi","Literally 'lord of the island'"
nm_0037,"Epinephelus aeneus","Σφυρίδα","Traditional name for white grouper"
nm_0038,"Epinephelus aeneus","وقار","Traditional name for grouper"
nm_0039,"Epinephelus aeneus","White grouper","Refers to lighter coloring"
nm_0040,"Sarpa salpa","Sarıkız","Literally 'yellow girl'"
nm_0041,"Sarpa salpa","Σάλπα","Scientific name used directly"
nm_0042,"Sarpa salpa","سلبة","Scientific name used directly"
nm_0044,"Solea solea","Dil balığı","Refers to flat shape"
nm_0045,"Solea solea","Γλώσσα","Same concept as Turkish dil balığı"
nm_0046,"Solea solea","سمك موسى","Legend: fish split by Moses parting the Red Sea"
nm_0047,"Solea solea","Common sole","Named for flat shape resembling a sandal"
nm_0048,"Pagellus erythrinus",Mercan,"Refers to pink/red color. Used in Aegean/Mediterranean."
nm_0049,"Pagellus erythrinus","Λυθρίνι","Traditional name for common pandora"
nm_0050,"Pagellus erythrinus","مرجان","Refers to pink/red color"
nm_0051,"Pagellus erythrinus","Common pandora","Named after Pandora from Greek mythology"
nm_0052,"Pagellus acarne",Meksinar,"Regional Aegean term"
nm_0053,"Pagellus acarne","Μουσμούλι","Traditional name for axillary seabream"
nm_0055,"Pagellus acarne","Axillary seabream","Named for dark spot near pectoral fin (axil)"
nm_0058,"Mugil cephalus","بوري","Widespread name for grey mullet"
nm_0059,"Mugil cephalus","Flathead grey mullet","Flat head shape"
nm_0060,"Mullus surmuletus",Tekir,"Name from Greek word for ""tiger"" - refers to striped pattern"
nm_0061,"Mullus surmuletus","Κουτσομούρα","The striped red mullet"
nm_0062,"Mullus surmuletus","سلطان ابراهيم","Origin uncertain, possibly Ottoman era honorific"
nm_0064,"Mullus surmuletus","Striped red mullet","Red with stripes"
nm_0069,"Salmo salar",Somon,"Not native - farmed in Marmara region"
nm_0073,"Diplodus annularis",Ispanoz,"σπ- → isp-"
nm_0075,"Diplodus annularis","Σπάρος","Ancient Greek fish name"
nm_0076,"Diplodus annularis","شرغو","Traditional name for annular seabream"
nm_0077,"Diplodus annularis","Annular seabream","Named for dark ring-shaped spot on tail"
nm_0080,"Trachurus trachurus","صوريل","Traditional name for horse mackerel"
nm_0081,"Trachurus trachurus","Atlantic horse mackerel","Horse indicates larger/coarser than regular mackerel"
nm_0082,"Anguilla anguilla","Yılan balığı","Yılan from Old Turkish (pre-900 CE)"
nm_0083,"Anguilla anguilla","Χέλι","Traditional name for European eel"
nm_0084,"Anguilla anguilla","ثعبان البحر","Literally 'sea snake'"
nm_0085,"Anguilla anguilla","أنقليس","Diminutive of anguis (snake)"
nm_0087,"Raja clavata",Vatoz,"Also means 'ray fish with spiky tail'"
nm_0088,"Raja clavata","Βάτος","Extended to ray fish due to spiky appearance"
nm_0090,"Raja clavata","Thornback ray","Refers to thorny spines on back"
nm_0091,"Homarus gammarus",Istakoz,"Borrowed from Greek αστακός (astakós)"
nm_0094,"Homarus gammarus","جراد البحر","Literally 'sea locust'"
nm_0096,"Octopus vulgaris",Ahtapot,"First recorded in Turkish in Evliya Çelebi's Seyahatname (1665). Greek-origin name."
nm_0100,"Melicertus kerathurus",Karides,"Borrowed from Modern Greek plural form (καρίδες from καρίδα), ultimately from Ancient Greek"
nm_0104,"Melicertus kerathurus","Caramote prawn","Name from various Mediterranean languages"
nm_0105,"Callinectes sapidus","Mavi yengeç","Yengeç is Old Turkish (documented 1073). Species is a Mediterranean invasive."
nm_0108,"Callinectes sapidus","Blue crab","Blue coloring"
nm_0110,"Cancer pagurus","Καβούρι","Traditional name for crab"
nm_0111,"Cancer pagurus","سلطعون","Formal term for crab"
nm_0112,"Cancer pagurus","كابوريا","Colloquial Egyptian term for crab"
nm_0113,"Cancer pagurus","Brown crab","Brown coloring"
nm_0114,"Astacus astacus",Kerevit,"Used for freshwater crayfish in lakes"
nm_0115,"Astacus astacus","Καραβίδα","Traditional name for freshwater crayfish"
nm_0116,"Astacus astacus","جراد النهر","Literally 'river locust'"
