type,mentioned_in,mentioned_in_name,suggested_name,suggested_lang,suggested_species,existing_species_id,evidence_from_note
name,nm_0014,Barbun,Kaya barbunu,tur,Mullus barbatus,sp_007,"Varieties: kaya barbunu (rock)"
name,nm_0014,Barbun,Kum barbunu,tur,Mullus barbatus,sp_007,"Varieties: kum barbunu (sand)"
name,nm_0014,Barbun,Ot barbunu,tur,Mullus barbatus,sp_007,"Varieties: ot barbunu (grass)"
name,nm_0014,Barbun,Paşa barbunu,tur,Mullus barbatus,sp_007,"Varieties: paşa barbunu (pasha)"
name,nm_0175,Ide,Orfe,eng,Leuciscus idus,sp_058,"Also called orfe (golden variety)"
name,nm_0199,Akya,Lecha,spa,Lichia amia,sp_038,"Also known as: Lecha (Spanish)"
name,nm_0215,Nors,Slom,swe,Osmerus eperlanus,sp_047,"Also called slom in some dialects"
name,nm_0217,Gärs,Snorgärs,swe,Gymnocephalus cernua,sp_053,"Also called snorgärs (slimy ruffe)"
name,nm_0277,Forell,Meriforell,est,Salmo trutta,sp_029,"Also: meriforell (sea trout)"
name,nm_0341,John Dory,St. Peter's fish,eng,Zeus faber,sp_078,"Also called St. Peter's fish"
name,nm_0405,Langust,Dikenli ıstakoz,tur,Palinurus elephas,sp_083,"Also called dikenli ıstakoz (spiny lobster)"
name,nm_0411,European flat oyster,Belon oyster,eng,Ostrea edulis,sp_084,"Also called Belon oyster"
name,nm_0445,Meagre,Croaker,eng,Argyrosomus regius,sp_092,"Also called croaker due to drumming sounds"
name,nm_0448,Kızıl mercan,Fangri mercan,tur,Pagrus pagrus,sp_031,"Also called Fangri mercan regionally"
name,nm_0458,Leerfish,Garrick,eng,Lichia amia,sp_038,"Also called Garrick in South Africa"
name,nm_0460,Mazzancolla,Gambero imperiale,ita,Melicertus kerathurus,sp_020,"also called gambero imperiale"
name,nm_0462,Ombrina,Corvo di mare,ita,Umbrina cirrosa,sp_026,"also called corvo di mare (sea raven)"
name,nm_0471,Större kungsfisk,Rödfisk,swe,Sebastes norvegicus,sp_102,"Also called rödfisk (redfish)"
name,nm_0471,Större kungsfisk,Uer,nor,Sebastes norvegicus,sp_102,"Also called uer (Norwegian)"
name,nm_0472,Golden redfish,Rose fish,eng,Sebastes norvegicus,sp_102,"Also called rose fish"
name,nm_0472,Golden redfish,Ocean perch,eng,Sebastes norvegicus,sp_102,"Also called ocean perch"
name,nm_0472,Golden redfish,Norway haddock,eng,Sebastes norvegicus,sp_102,"Also called Norway haddock"
species,nm_0224,Storspigg,Småspigg (nine-spined stickleback),,Pungitius pungitius,,"Distinguished from småspigg (nine-spined stickleback) — new species not in DB"
